,f1_macro,f1,mcc,f1_samples
infiltrazione_sfinteri,0.4375,0.0,-0.12327841818038447,
infiltrazione_organi_extra,0.3793103448275862,0.0,-0.24112141108520604,
coinvolgimento_riflessione_peritoneale,0.4,0.0,-0.19881069312188604,
coinvolgimento_fascia_mesorettale,0.5939849624060151,0.47368421052631576,0.19538794727709236,
depositi_tumorali,0.45454545454545453,0.0,-0.09035079029052513,
emvi_esteso,0.5209934949733885,0.21052631578947367,0.04264014327112208,
stadio_N,0.48641304347826086,0.8478260869565217,-0.024655683636076894,
stadio_N1c,0.45454545454545453,0.0,-0.09035079029052513,
mrf,0.45831892078865444,0.5084745762711864,-0.07537783614444091,
emvi,0.6136724960254372,0.47058823529411764,0.22941573387056174,
metastasi,0.4666666666666667,0.1111111111111111,-0.06461347526461296,
morfologia,0.23986828774062818,,-0.19936888099683028,
riflessione_peritoneale_anteriore,0.27320910973084883,,-0.10745196779282902,
infiltrazione_tessuto_adiposo,0.2704761904761905,,-0.11801233650805605,
stadio_T,0.16332345191040845,,-0.13667838988938597,
posizione,0.37458935933512205,,,0.3728395061728395
posizione_basso,0.5561643835616439,0.4,,
posizione_medio,0.4956762365963334,0.5423728813559322,,
posizione_alto,0.4449942900647126,0.2702702702702703,,
posizione_giunzione,0.618104667609618,0.2857142857142857,,
infiltrazione_organi_dettagli,0.0,,,0.0
infiltrazione_organi_dettagli_pavimento_pelvico,0.425531914893617,0.0,,
infiltrazione_organi_dettagli_altro,0.39325842696629215,0.0,,
sedi_linfonodi,0.29917580591558657,,,0.5277777777777777
sedi_linfonodi_mesorettali,0.4199488491048593,0.7529411764705882,,
sedi_linfonodi_rettali_superiori,0.5330335524040124,0.576271186440678,,
sedi_linfonodi_otturatori,0.53125,0.16666666666666666,,
sedi_linfonodi_iliaci,0.425531914893617,0.0,,
sedi_linfonodi_altro,0.4375,0.0,,
