field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,f1_samples
ore_inizio,validation,2.9565217391304346,0.6847826086956522,0.27380952380952384,0.0,0.0,,,,
ore_inizio,test,2.85,0.4381818181818182,0.22988505747126436,0.0,0.0,,,,
ore_fine,validation,3.1739130434782608,0.9770531400966185,0.27380952380952384,0.0,0.0,,,,
ore_fine,test,3.2,0.6545454545454544,0.22988505747126436,0.0,0.0,,,,
spessore_parietale,validation,6.0,0.4265654979940695,0.10294117647058823,0.0,0.0,,,,
spessore_parietale,test,11.133333333333333,0.7891140957807624,0.18292682926829268,0.0,0.0,,,,
estensione_cranio_caudale,validation,12.372881355932204,0.286696588944507,0.49166666666666664,0.0,0.0,,,,
estensione_cranio_caudale,test,13.661290322580646,0.2967185749748702,0.4806201550387597,0.0,0.0,,,,
distanza_oai,validation,20.636363636363637,0.6086779603412894,0.47413793103448276,0.0,0.0,,,,
distanza_oai,test,24.704918032786885,0.6433290113648158,0.4765625,0.0,0.0,,,,
linfonodi_sospetti,validation,1.2459016393442623,0.5525,1.0,0.0,0.0,,,,
linfonodi_sospetti,test,1.1791044776119404,0.5113636363636362,1.0,0.0,0.0,,,,
infiltrazione_sfinteri,validation,,,,,,0.49166666666666664,0.0,0.0,
infiltrazione_sfinteri,test,,,,,,0.4846153846153846,0.0,0.0,
infiltrazione_organi_extra,validation,,,,,,0.4351851851851852,0.0,0.0,
infiltrazione_organi_extra,test,,,,,,0.4322033898305085,0.0,0.0,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.45535714285714285,0.0,0.0,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.4462809917355372,0.0,0.0,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.32222222222222224,0.6444444444444445,0.0,
coinvolgimento_fascia_mesorettale,test,,,,,,0.39090909090909093,0.7818181818181819,0.0,
numero_linfonodi_non_conosciuto,validation,,,,,,0.32222222222222224,0.6444444444444445,0.0,
numero_linfonodi_non_conosciuto,test,,,,,,0.3619047619047619,0.7238095238095238,0.0,
depositi_tumorali,validation,,,,,,0.47863247863247865,0.0,0.0,
depositi_tumorali,test,,,,,,0.4596774193548387,0.0,0.0,
emvi,validation,,,,,,0.45535714285714285,0.0,0.0,
emvi,test,,,,,,0.45081967213114754,0.0,0.0,
stadio_N1c,validation,,,,,,0.47863247863247865,0.0,0.0,
stadio_N1c,test,,,,,,0.4596774193548387,0.0,0.0,
mrf,validation,,,,,,0.3146067415730337,0.6292134831460674,0.0,
mrf,test,,,,,,0.39090909090909093,0.7818181818181819,0.0,
metastasi,validation,,,,,,0.46956521739130436,0.0,0.0,
metastasi,test,,,,,,0.4462809917355372,0.0,0.0,
morfologia,validation,,,,,,0.21978021978021978,,0.0,
morfologia,test,,,,,,0.2061855670103093,,0.0,
riflessione_peritoneale_anteriore,validation,,,,,,0.1518987341772152,,0.0,
riflessione_peritoneale_anteriore,test,,,,,,0.1349206349206349,,0.0,
infiltrazione_tessuto_adiposo,validation,,,,,,0.23859649122807017,,0.0,
infiltrazione_tessuto_adiposo,test,,,,,,0.25688073394495414,,0.0,
stadio_T,validation,,,,,,0.095,,0.0,
stadio_T,test,,,,,,0.10222222222222221,,0.0,
stadio_N,validation,,,,,,0.11875,,0.0,
stadio_N,test,,,,,,0.11494252873563218,,0.0,
posizione,validation,,,,,,0.18229166666666666,,,0.46994535519125685
posizione_basso,validation,,,,,,0.39603960396039606,0.0,,
posizione_medio,validation,,,,,,0.3645833333333333,0.7291666666666666,,
posizione_alto,validation,,,,,,0.4019607843137255,0.0,,
posizione_giunzione,validation,,,,,,0.49166666666666664,0.0,,
posizione,test,,,,,,0.16831683168316833,,,0.40646766169154236
posizione_basso,test,,,,,,0.37383177570093457,0.0,,
posizione_medio,test,,,,,,0.33663366336633666,0.6732673267326733,,
posizione_alto,test,,,,,,0.4017857142857143,0.0,,
posizione_giunzione,test,,,,,,0.48854961832061067,0.0,,
infiltrazione_organi_dettagli,validation,,,,,,0.0,,,0.0
infiltrazione_organi_dettagli_pavimento_pelvico,validation,,,,,,0.4830508474576271,0.0,,
infiltrazione_organi_dettagli_altro,validation,,,,,,0.45045045045045046,0.0,,
infiltrazione_organi_dettagli,test,,,,,,0.0,,,0.0
infiltrazione_organi_dettagli_pavimento_pelvico,test,,,,,,0.45081967213114754,0.0,,
infiltrazione_organi_dettagli_altro,test,,,,,,0.4596774193548387,0.0,,
sedi_linfonodi,validation,,,,,,0.1676190476190476,,,0.521311475409836
sedi_linfonodi_mesorettali,validation,,,,,,0.41904761904761906,0.8380952380952381,,
sedi_linfonodi_rettali_superiori,validation,,,,,,0.35789473684210527,0.0,,
sedi_linfonodi_otturatori,validation,,,,,,0.45045045045045046,0.0,,
sedi_linfonodi_iliaci,validation,,,,,,0.47413793103448276,0.0,,
sedi_linfonodi_altro,validation,,,,,,0.4830508474576271,0.0,,
sedi_linfonodi,test,,,,,,0.17478991596638654,,,0.5288557213930348
sedi_linfonodi_mesorettali,test,,,,,,0.4369747899159664,0.8739495798319328,,
sedi_linfonodi_rettali_superiori,test,,,,,,0.3557692307692308,0.0,,
sedi_linfonodi_otturatori,test,,,,,,0.4369747899159664,0.0,,
sedi_linfonodi_iliaci,test,,,,,,0.4369747899159664,0.0,,
sedi_linfonodi_altro,test,,,,,,0.4596774193548387,0.0,,
