field,split,f1_macro,f1,mcc,best_threshold,f1_samples
infiltrazione_sfinteri,validation,0.38836898395721925,0.11764705882352941,0.17527218542327486,0.04401865229010582,
infiltrazione_sfinteri,test,0.34985575662208235,0.0975609756097561,-0.02647075179704386,0.04401865229010582,
infiltrazione_organi_extra,validation,0.7556089743589745,0.6153846153846154,0.5144561561215357,0.37777018547058105,
infiltrazione_organi_extra,test,0.7139573070607553,0.5517241379310345,0.43337136134076126,0.37777018547058105,
coinvolgimento_riflessione_peritoneale,validation,0.6908382066276804,0.5185185185185185,0.41609954064334514,0.18535663187503815,
coinvolgimento_riflessione_peritoneale,test,0.5959429824561404,0.42105263157894735,0.24576455616480528,0.18535663187503815,
coinvolgimento_fascia_mesorettale,validation,0.6161327231121281,0.7105263157894737,0.36343889646570177,0.2135411649942398,
coinvolgimento_fascia_mesorettale,test,0.5275641025641026,0.7884615384615384,0.20176289177601128,0.2135411649942398,
numero_linfonodi_non_conosciuto,validation,0.7497949138638228,0.7169811320754716,0.5100356346698884,0.4699459671974182,
numero_linfonodi_non_conosciuto,test,0.5786163522012578,0.6666666666666666,0.1640995547862144,0.4699459671974182,
depositi_tumorali,validation,0.7000983284169124,0.4444444444444444,0.403695336624081,0.2970619201660156,
depositi_tumorali,test,0.7607142857142857,0.5714285714285714,0.6015852075182384,0.2970619201660156,
emvi,validation,0.7781818181818182,0.6363636363636364,0.5606148847051017,0.2140335589647293,
emvi,test,0.6057459328487366,0.37037037037037035,0.21602918591849843,0.2140335589647293,
stadio_N1c,validation,0.6411764705882352,0.4,0.38448831313833015,0.14033624529838562,
stadio_N1c,test,0.6737012987012987,0.45454545454545453,0.35053312476523824,0.14033624529838562,
mrf,validation,0.6830735575608422,0.7246376811594203,0.433110226590358,0.3479801118373871,
mrf,test,0.593939393939394,0.7878787878787878,0.25711277537502686,0.3479801118373871,
metastasi,validation,0.6578525641025641,0.46153846153846156,0.4242370316812769,0.18326452374458313,
metastasi,test,0.6079687935358038,0.43243243243243246,0.2631719592057507,0.18326452374458313,
morfologia,validation,0.4577651515151515,,0.38888266642903874,,
morfologia,test,0.5126984126984128,,0.5233588830453645,,
riflessione_peritoneale_anteriore,validation,0.3552631578947369,,0.09539842219083736,,
riflessione_peritoneale_anteriore,test,0.2850045167118338,,0.06275137270526102,,
infiltrazione_tessuto_adiposo,validation,0.431412200876306,,0.33287289946979165,,
infiltrazione_tessuto_adiposo,test,0.41693531055233185,,0.25789682234385264,,
stadio_T,validation,0.40428571428571425,,0.33969222200504734,,
stadio_T,test,0.3216708437761069,,0.20522824336024081,,
stadio_N,validation,0.48845404108562007,,0.3787928760289184,,
stadio_N,test,0.327991452991453,,0.1620991205614177,,
posizione,validation,0.5107830366189029,,,,0.6606557377049179
posizione_basso,validation,0.7009803921568627,0.6666666666666666,,0.2160675972700119,
posizione_medio,validation,0.3974164133738602,0.723404255319149,,0.35900983214378357,
posizione_alto,validation,0.7100922560805143,0.6530612244897959,,0.2240394949913025,
posizione_giunzione,validation,0.48739495798319327,0.0,,0.08228045701980591,
posizione,test,0.40735188380788034,,,,0.49751243781094523
posizione_basso,test,0.6753875968992249,0.5833333333333334,,0.2160675972700119,
posizione_medio,test,0.40323886639676115,0.6526315789473685,,0.35900983214378357,
posizione_alto,test,0.44329665394116324,0.39344262295081966,,0.2240394949913025,
posizione_giunzione,test,0.47244094488188976,0.0,,0.08228045701980591,
infiltrazione_organi_dettagli,validation,0.20261984392419174,,,,0.14754098360655735
infiltrazione_organi_dettagli_pavimento_pelvico,validation,0.22912087912087914,0.11538461538461539,,0.2018132209777832,
infiltrazione_organi_dettagli_altro,validation,0.18266338528848783,0.2898550724637681,,0.5736784338951111,
infiltrazione_organi_dettagli,test,0.2837162837162837,,,,0.17412935323383083
infiltrazione_organi_dettagli_pavimento_pelvico,test,0.3277591973244147,0.3076923076923077,,0.2018132209777832,
infiltrazione_organi_dettagli_altro,test,0.12987012987012986,0.2597402597402597,,0.5736784338951111,
sedi_linfonodi,validation,0.3708986352311885,,,,0.5042544886807182
sedi_linfonodi_mesorettali,validation,0.660734149054505,0.8387096774193549,,0.5360850095748901,
sedi_linfonodi_rettali_superiori,validation,0.3781278962001854,0.6024096385542169,,0.10664089769124985,
sedi_linfonodi_otturatori,validation,0.5685997171145686,0.2857142857142857,,0.06379039585590363,
sedi_linfonodi_iliaci,validation,0.46956521739130436,0.0,,0.14312197268009186,
sedi_linfonodi_altro,validation,0.2904964539007092,0.1276595744680851,,0.027979889884591103,
sedi_linfonodi,test,0.41359551142159834,,,,0.5570362473347548
sedi_linfonodi_mesorettali,test,0.44888366627497067,0.8108108108108109,,0.5360850095748901,
sedi_linfonodi_rettali_superiori,test,0.46920521339125987,0.6593406593406593,,0.10664089769124985,
sedi_linfonodi_otturatori,test,0.6063454759106933,0.34782608695652173,,0.06379039585590363,
sedi_linfonodi_iliaci,test,0.4369747899159664,0.0,,0.14312197268009186,
sedi_linfonodi_altro,test,0.41569767441860467,0.25,,0.027979889884591103,
